Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
POND WOODS RD|12626|COPPER CREEK DR,POND WOODS RD,12626,COPPER CREEK DR,['2019-06-10'],Residential,C,,,2020.0,,,1883,1,
POND WOODS RD|COPPER CREEK DR|HYMEADOW DR,POND WOODS RD,COPPER CREEK DR,HYMEADOW DR,['2019-06-10'],Residential,C,C,C,2020.0,2018.0,2018.0,1883,1,
PONDSDALE LN|COLONY LOOP DR|FLEETRIDGE DR,PONDSDALE LN,COLONY LOOP DR,FLEETRIDGE DR,['2017-01-25'],Residential,D,C,C,2021.0,2018.0,2018.0,2749,1,
PONOMA TRL|ASHCROFT CT|CLOUDCROFT DR,PONOMA TRL,ASHCROFT CT,CLOUDCROFT DR,"['2018-04-15', '2019-11-01']",Residential,A,B,B,2022.0,2019.0,2017.0,1739,2,565.0
PONOMA TRL|ASHCROFT CT|MARICOPA CV,PONOMA TRL,MARICOPA CV,ASHCROFT CT,"['2018-04-15', '2019-11-01']",Residential,A,A,A,2022.0,2019.0,2017.0,1739,2,565.0
PONOMA TRL|BECKETT RD|MARICOPA CV,PONOMA TRL,BECKETT RD,MARICOPA CV,"['2018-04-15', '2019-11-01']",Residential,A,B,B,2022.0,2019.0,2017.0,1739,2,565.0
PONOMA TRL|CLOUDCROFT DR|SNOWMASS CV,PONOMA TRL,CLOUDCROFT DR,SNOWMASS CV,"['2018-04-15', '2019-11-01']",Residential,A,B,B,2022.0,2019.0,2017.0,1739,2,565.0
PONOMA TRL|COLUSA CT|ENCINITAS LN,PONOMA TRL,ENCINITAS LN,COLUSA CT,"['2018-04-15', '2019-11-01']",Residential,A,A,B,2022.0,2019.0,2017.0,1739,2,565.0
PONOMA TRL|COLUSA CT|VAIL VALLEY DR,PONOMA TRL,COLUSA CT,VAIL VALLEY DR,"['2018-04-15', '2019-11-01']",Residential,A,B,B,2022.0,2019.0,2017.0,1739,2,565.0
PONOMA TRL|ENCINITAS LN|SNOWMASS CV,PONOMA TRL,SNOWMASS CV,ENCINITAS LN,"['2018-04-15', '2019-11-01']",Residential,A,A,A,2022.0,2019.0,2017.0,1739,2,565.0
PONY CHASE|BAR-X DR|BLACK ANGUS DR,PONY CHASE,BLACK ANGUS DR,BAR-X DR,['2019-10-28'],Collector,C,D,D,2020.0,2018.0,2018.0,1743,1,
PONY CHASE|BAR-X DR|TIMBER WOLF TRL,PONY CHASE,BAR-X DR,TIMBER WOLF TRL,['2018-04-11'],Collector,B,F,F,2020.0,2018.0,2018.0,2308,1,
