Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
35TH ST W|HILLVIEW RD|WOODSTONE SQ,35TH ST W,HILLVIEW RD,WOODSTONE SQ,['2019-09-11'],Arterial,D,D,D,2021.0,2018.0,2018.0,1790,1,
35TH ST W|JEFFERSON ST|LAWTON AVE,35TH ST W,JEFFERSON ST,LAWTON AVE,['2016-10-11'],Arterial,D,F,F,2021.0,2018.0,2018.0,2855,1,
35TH ST W|KERBEY LN|KERBEY LN,35TH ST W,KERBEY LN,KERBEY LN,['2018-06-28'],Arterial,F,F,F,2021.0,2018.0,2018.0,2230,1,
35TH ST W|LAWTON AVE|OAKMONT BLVD,35TH ST W,LAWTON AVE,OAKMONT BLVD,['2016-10-11'],Arterial,F,D,D,2021.0,2018.0,2018.0,2855,1,
35TH ST W|MILLS AVE|MILLS AVE,35TH ST W,MILLS AVE,MILLS AVE,['2018-06-14'],Collector,A,D,D,2021.0,2018.0,2018.0,2244,1,
35TH ST W|OAKMONT BLVD|OAKMONT BLVD,35TH ST W,OAKMONT BLVD,OAKMONT BLVD,['2016-10-11'],Arterial,F,D,D,2021.0,2018.0,2018.0,2855,1,
36TH ST W|JACKSON AVE|OAKMONT BLVD,36TH ST W,OAKMONT BLVD,JACKSON AVE,['2019-07-08'],Residential,C,C,C,2021.0,2018.0,2018.0,1855,1,
37TH ST E|110|SPEEDWAY,37TH ST E,SPEEDWAY,110,['2017-10-05'],Residential,D,D,D,2021.0,2018.0,2018.0,2496,1,
37TH ST E|926|RED RIVER ST,37TH ST E,RED RIVER ST,926,['2017-10-05'],Residential,D,D,D,2021.0,2018.0,2018.0,2496,1,
37TH ST E|GREENWAY|HAMPTON RD,37TH ST E,GREENWAY,HAMPTON RD,['2017-10-05'],Residential,C,D,D,2021.0,2018.0,2018.0,2496,1,
37TH ST E|KERN RAMBLE|LAFAYETTE AVE,37TH ST E,LAFAYETTE AVE,KERN RAMBLE,['2019-05-24'],Residential,B,C,C,2021.0,2018.0,2018.0,1900,1,
37TH ST W|GUADALUPE ST|RONSON ST,37TH ST W,GUADALUPE ST,RONSON ST,['2018-12-11'],Residential,C,C,C,2021.0,2018.0,2018.0,2064,1,
37TH ST W|JACKSON AVE|OAKMONT BLVD,37TH ST W,OAKMONT BLVD,JACKSON AVE,['2019-07-08'],Residential,C,D,D,2021.0,2018.0,2018.0,1855,1,
37TH ST W|KING ST|RONSON ST,37TH ST W,RONSON ST,KING ST,['2018-12-11'],Residential,C,C,C,2021.0,2018.0,2018.0,2064,1,
38TH ST E|AIRPORT BLVD|TOWER VIEW CT,38TH ST E,AIRPORT BLVD,TOWER VIEW CT,['2019-03-29'],Residential,C,D,D,2021.0,2018.0,2018.0,1956,1,
38TH ST W|35TH ST CUTOFF  W|CRAWFORD AVE,38TH ST W,35TH ST CUTOFF  W,CRAWFORD AVE,['2019-11-09'],Arterial,F,F,F,2021.0,2018.0,2018.0,1731,1,
38TH ST W|35TH ST CUTOFF  W|SHOAL CREEK BLVD,38TH ST W,SHOAL CREEK BLVD,35TH ST CUTOFF  W,['2018-07-13'],Arterial,D,F,F,2021.0,2018.0,2018.0,2215,1,
38TH ST W|BAILEY LN|MEDICAL PKWY,38TH ST W,MEDICAL PKWY,BAILEY LN,['2018-07-13'],Arterial,C,D,D,2021.0,2018.0,2018.0,2215,1,
38TH ST W|BAILEY LN|TONKAWA TRL,38TH ST W,BAILEY LN,TONKAWA TRL,['2018-07-13'],Arterial,B,D,D,2021.0,2018.0,2018.0,2215,1,
38TH ST W|CRAWFORD AVE|KERBEY LN,38TH ST W,CRAWFORD AVE,KERBEY LN,['2019-11-09'],Arterial,C,D,D,2021.0,2018.0,2018.0,1731,1,
38TH ST W|JACKSON AVE|OAKMONT BLVD,38TH ST W,OAKMONT BLVD,JACKSON AVE,['2019-07-08'],Residential,D,D,D,2021.0,2018.0,2018.0,1855,1,
38TH ST W|JEFFERSON ST|KERBEY LN,38TH ST W,KERBEY LN,JEFFERSON ST,['2019-11-09'],Arterial,B,F,F,2021.0,2018.0,2018.0,1731,1,
38TH ST W|LAMAR BLVD N|MEDICAL PKWY,38TH ST W,LAMAR BLVD N,MEDICAL PKWY,['2018-07-13'],Arterial,D,D,D,2021.0,2018.0,2018.0,2215,1,
38TH ST W|SHOAL CREEK BLVD|TONKAWA TRL,38TH ST W,TONKAWA TRL,SHOAL CREEK BLVD,['2018-07-13'],Arterial,F,D,D,2021.0,2018.0,2018.0,2215,1,
39TH ST E|AVENUE F|AVENUE G,39TH ST E,AVENUE F,AVENUE G,['2018-12-18'],Residential,D,D,D,2021.0,2018.0,2018.0,2057,1,
39TH ST E|AVENUE G|AVENUE H,39TH ST E,AVENUE G,AVENUE H,['2018-12-18'],Residential,C,B,B,2021.0,2018.0,2018.0,2057,1,
39TH ST E|AVENUE H|DUVAL ST,39TH ST E,AVENUE H,DUVAL ST,['2018-12-18'],Residential,B,D,D,2021.0,2018.0,2018.0,2057,1,
39TH ST W|BULL CREEK RD|OAKMONT BLVD,39TH ST W,BULL CREEK RD,OAKMONT BLVD,['2018-07-18'],Residential,D,C,C,2021.0,2018.0,2018.0,2210,1,
39TH ST W|JACKSON AVE|OAKMONT BLVD,39TH ST W,OAKMONT BLVD,JACKSON AVE,['2018-07-18'],Residential,C,D,D,2021.0,2018.0,2018.0,2210,1,
39TH ST W|JEFFERSON ST|PETES PATH,39TH ST W,JEFFERSON ST,PETES PATH,['2019-03-29'],Residential,C,C,C,2021.0,2018.0,2018.0,1956,1,
3RD ST S|2417|OLTORF ST W,3RD ST S,OLTORF ST W,2417,['2018-07-11'],Residential,D,B,B,2021.0,2019.0,2017.0,2217,1,
3RD ST S|501|POST OAK ST,3RD ST S,501,POST OAK ST,['2017-07-05'],Residential,D,C,C,2021.0,2019.0,2017.0,2588,1,
3RD ST S|ANNIE ST W|MARY ST W,3RD ST S,ANNIE ST W,MARY ST W,['2018-07-19'],Residential,B,B,B,2021.0,2019.0,2017.0,2209,1,
3RD ST S|ANNIE ST W|MILTON ST W,3RD ST S,MILTON ST W,ANNIE ST W,['2018-07-19'],Residential,B,B,B,2021.0,2019.0,2017.0,2209,1,
3RD ST S|CHRISTOPHER ST|COLUMBUS ST,3RD ST S,CHRISTOPHER ST,COLUMBUS ST,['2019-01-09'],Residential,C,D,D,2021.0,2019.0,2017.0,2035,1,
3RD ST S|COLUMBUS ST|JAMES ST W,3RD ST S,COLUMBUS ST,JAMES ST W,['2019-01-09'],Residential,B,D,D,2021.0,2019.0,2017.0,2035,1,
3RD ST S|CUMBERLAND RD|HERNDON LN,3RD ST S,HERNDON LN,CUMBERLAND RD,['2018-07-11'],Residential,C,B,A,2021.0,2019.0,2017.0,2217,1,
3RD ST S|ELIZABETH ST W|GIBSON ST W,3RD ST S,GIBSON ST W,ELIZABETH ST W,['2018-07-19'],Residential,B,A,A,2021.0,2019.0,2017.0,2209,1,
3RD ST S|ELIZABETH ST W|JEWELL ST,3RD ST S,ELIZABETH ST W,JEWELL ST,['2018-07-19'],Residential,C,B,D,2021.0,2019.0,2017.0,2209,1,
3RD ST S|FLETCHER ST|LIVE OAK ST W,3RD ST S,LIVE OAK ST W,FLETCHER ST,['2018-07-19'],Residential,C,C,C,2021.0,2019.0,2017.0,2209,1,
3RD ST S|FLETCHER ST|OAK CREST AVE,3RD ST S,FLETCHER ST,OAK CREST AVE,['2018-07-19'],Residential,F,F,D,2021.0,2019.0,2017.0,2209,1,
3RD ST S|GIBSON ST W|JAMES ST W,3RD ST S,JAMES ST W,GIBSON ST W,['2019-01-09'],Residential,B,C,C,2021.0,2019.0,2017.0,2035,1,
3RD ST S|JEWELL ST|MONROE ST W,3RD ST S,JEWELL ST,MONROE ST W,['2018-07-19'],Residential,D,C,C,2021.0,2019.0,2017.0,2209,1,
3RD ST S|JOHANNA ST W|LIVE OAK ST W,3RD ST S,JOHANNA ST W,LIVE OAK ST W,['2018-07-19'],Residential,C,D,D,2021.0,2019.0,2017.0,2209,1,
3RD ST S|JOHANNA ST W|MARY ST W,3RD ST S,MARY ST W,JOHANNA ST W,['2018-07-19'],Residential,B,B,B,2021.0,2019.0,2017.0,2209,1,
3RD ST S|MILTON ST W|MONROE ST W,3RD ST S,MONROE ST W,MILTON ST W,['2018-07-19'],Residential,D,C,C,2021.0,2019.0,2017.0,2209,1,
3RD ST W|WALTER SEAHOLM DR|WEST AVE,3RD ST W,WEST AVE,WALTER SEAHOLM DR,['2018-12-14'],Residential,C,B,B,2021.0,2018.0,2018.0,2061,1,
40TH ST E|AIRPORT BLVD|GRAYSON LN,40TH ST E,GRAYSON LN,AIRPORT BLVD,['2019-05-21'],Residential,C,D,D,2021.0,2018.0,2018.0,1903,1,
40TH ST E|AVENUE F|AVENUE G,40TH ST E,AVENUE F,AVENUE G,['2019-04-16'],Residential,B,D,D,2021.0,2018.0,2018.0,1938,1,
40TH ST E|AVENUE G|AVENUE H,40TH ST E,AVENUE G,AVENUE H,['2019-04-16'],Residential,B,D,D,2021.0,2018.0,2018.0,1938,1,
40TH ST E|AVENUE H|TOWNE PARK TRL,40TH ST E,AVENUE H,TOWNE PARK TRL,['2019-04-16'],Residential,B,D,D,2021.0,2018.0,2018.0,1938,1,
40TH ST E|BROOKVIEW RD|VINELAND DR,40TH ST E,BROOKVIEW RD,VINELAND DR,['2019-05-21'],Residential,C,D,D,2021.0,2018.0,2018.0,1903,1,
40TH ST E|DUVAL ST|TOWNE PARK TRL,40TH ST E,TOWNE PARK TRL,DUVAL ST,['2019-04-16'],Residential,C,F,F,2021.0,2018.0,2018.0,1938,1,
40TH ST E|GRAYSON LN|VINELAND DR,40TH ST E,VINELAND DR,GRAYSON LN,['2019-05-21'],Residential,C,F,F,2021.0,2018.0,2018.0,1903,1,
40TH ST W|JACKSON AVE|OAKMONT BLVD,40TH ST W,OAKMONT BLVD,JACKSON AVE,['2019-07-08'],Residential,B,B,B,2021.0,2018.0,2018.0,1855,1,
41ST ST W|BULL CREEK RD|JACKSON AVE,41ST ST W,BULL CREEK RD,JACKSON AVE,['2019-06-27'],Residential,D,D,D,2021.0,2018.0,2018.0,1866,1,
42ND ST W|BELLVUE AVE|MARATHON BLVD,42ND ST W,MARATHON BLVD,BELLVUE AVE,['2019-07-09'],Residential,C,B,B,2021.0,2018.0,2018.0,1854,1,
42ND ST W|BELLVUE AVE|MEDICAL PKWY,42ND ST W,BELLVUE AVE,MEDICAL PKWY,['2019-07-09'],Residential,C,D,D,2021.0,2018.0,2018.0,1854,1,
42ND ST W|LAMAR BLVD N|MARATHON BLVD,42ND ST W,LAMAR BLVD N,MARATHON BLVD,['2019-07-09'],Residential,C,D,D,2021.0,2018.0,2018.0,1854,1,
42ND ST W|RAMSEY AVE|ROSEDALE AVE,42ND ST W,ROSEDALE AVE,RAMSEY AVE,['2017-05-01'],Residential,C,C,C,2021.0,2018.0,2018.0,2653,1,
42ND ST W|RAMSEY AVE|SINCLAIR AVE,42ND ST W,RAMSEY AVE,SINCLAIR AVE,['2017-05-01'],Residential,B,D,D,2021.0,2018.0,2018.0,2653,1,
42ND ST W|SHOALWOOD AVE|SINCLAIR AVE,42ND ST W,SINCLAIR AVE,SHOALWOOD AVE,['2017-05-01'],Residential,C,C,C,2021.0,2018.0,2018.0,2653,1,
43RD ST W|AVENUE A|AVENUE B,43RD ST W,AVENUE B,AVENUE A,['2019-11-06'],Residential,D,C,C,2021.0,2018.0,2018.0,1734,1,
43RD ST W|AVENUE A|GUADALUPE ST,43RD ST W,AVENUE A,GUADALUPE ST,['2019-11-06'],Residential,B,C,C,2021.0,2018.0,2018.0,1734,1,
43RD ST W|AVENUE B|AVENUE C,43RD ST W,AVENUE C,AVENUE B,['2019-11-06'],Residential,B,D,D,2021.0,2018.0,2018.0,1734,1,
43RD ST W|AVENUE C|AVENUE D,43RD ST W,AVENUE D,AVENUE C,['2019-11-06'],Residential,B,C,C,2021.0,2018.0,2018.0,1734,1,
43RD ST W|AVENUE D|SPEEDWAY,43RD ST W,SPEEDWAY,AVENUE D,['2019-11-06'],Residential,C,C,C,2021.0,2018.0,2018.0,1734,1,
44TH ST E|CASWELL AVE|EILERS AVE,44TH ST E,EILERS AVE,CASWELL AVE,['2017-10-25'],Residential,C,B,B,2021.0,2018.0,2018.0,2476,1,
44TH ST E|CASWELL AVE|RED RIVER ST,44TH ST E,CASWELL AVE,RED RIVER ST,['2017-10-25'],Residential,B,C,C,2021.0,2018.0,2018.0,2476,1,
44TH ST W|BELLVUE AVE|MAYBELLE AVE,44TH ST W,BELLVUE AVE,MAYBELLE AVE,['2019-07-08'],Residential,C,C,C,2021.0,2018.0,2018.0,1855,1,
44TH ST W|BURNET RD|MEDICAL PKWY,44TH ST W,MEDICAL PKWY,BURNET RD,['2019-07-08'],Residential,D,C,C,2021.0,2018.0,2018.0,1855,1,
44TH ST W|BURNET RD|ROSEDALE AVE,44TH ST W,BURNET RD,ROSEDALE AVE,['2019-07-08'],Residential,C,C,C,2021.0,2018.0,2018.0,1855,1,
44TH ST W|MAYBELLE AVE|MEDICAL PKWY,44TH ST W,MAYBELLE AVE,MEDICAL PKWY,['2019-07-08'],Residential,D,C,C,2021.0,2018.0,2018.0,1855,1,
46TH ST E|AVENUE F|AVENUE G,46TH ST E,AVENUE F,AVENUE G,['2018-09-06'],Residential,D,C,C,2021.0,2018.0,2018.0,2160,1,
46TH ST E|AVENUE F|SPEEDWAY,46TH ST E,SPEEDWAY,AVENUE F,['2018-09-06'],Residential,C,C,C,2021.0,2018.0,2018.0,2160,1,
46TH ST E|AVENUE G|AVENUE H,46TH ST E,AVENUE G,AVENUE H,['2018-09-06'],Residential,C,D,D,2021.0,2018.0,2018.0,2160,1,
46TH ST W|SHOALWOOD AVE|SINCLAIR AVE,46TH ST W,SINCLAIR AVE,SHOALWOOD AVE,['2019-02-04'],Residential,C,C,C,2021.0,2018.0,2018.0,2009,1,
49TH ST E|CASWELL AVE|RED RIVER ST,49TH ST E,CASWELL AVE,RED RIVER ST,['2017-11-18'],Residential,C,C,C,2021.0,2018.0,2018.0,2452,1,
4TH ST E|BROADWAY|LINDEN ST,4TH ST E,BROADWAY,LINDEN ST,['2017-04-19'],Residential,A,A,A,2021.0,2018.0,2018.0,2665,1,
4TH ST E|BROADWAY|PLEASANT VALLEY RD N,4TH ST E,PLEASANT VALLEY RD N,BROADWAY,['2017-04-19'],Residential,B,A,A,2021.0,2018.0,2018.0,2665,1,
4TH ST E|CHALMERS AVE|CHICON ST,4TH ST E,CHALMERS AVE,CHICON ST,['2018-10-05'],Collector,C,C,C,2021.0,2018.0,2018.0,2131,1,
4TH ST E|CHALMERS AVE|CONCHO ST,4TH ST E,CONCHO ST,CHALMERS AVE,['2018-10-05'],Collector,C,F,F,2021.0,2018.0,2018.0,2131,1,
4TH ST E|CHICON ST|ROBERT T MARTINEZ JR ST,4TH ST E,CHICON ST,ROBERT T MARTINEZ JR ST,['2018-10-05'],Collector,C,A,A,2021.0,2018.0,2018.0,2131,1,
4TH ST E|COMAL ST|CONCHO ST,4TH ST E,COMAL ST,CONCHO ST,['2018-10-05'],Collector,F,C,C,2021.0,2018.0,2018.0,2131,1,
4TH ST E|COMAL ST|ONION ST,4TH ST E,ONION ST,COMAL ST,['2017-07-27'],Collector,F,D,D,2021.0,2018.0,2018.0,2566,1,
4TH ST E|LINDEN ST|TILLERY ST,4TH ST E,LINDEN ST,TILLERY ST,['2017-04-19'],Residential,A,C,C,2021.0,2018.0,2018.0,2665,1,
4TH ST E|NAVASOTA ST|ONION ST,4TH ST E,NAVASOTA ST,ONION ST,['2017-07-27'],Collector,D,D,D,2021.0,2018.0,2018.0,2566,1,
4TH ST E|PEDERNALES ST|SAN SABA ST,4TH ST E,PEDERNALES ST,SAN SABA ST,['2017-04-19'],Residential,B,C,C,2021.0,2018.0,2018.0,2665,1,
4TH ST S|2301|OLTORF ST W,4TH ST S,2301,OLTORF ST W,['2018-07-11'],Residential,C,B,B,2021.0,2019.0,2017.0,2217,1,
4TH ST S|2413|OLTORF ST W,4TH ST S,OLTORF ST W,2413,['2018-07-11'],Residential,D,B,B,2021.0,2019.0,2017.0,2217,1,
4TH ST S|CUMBERLAND RD|HERNDON LN,4TH ST S,HERNDON LN,CUMBERLAND RD,['2018-07-11'],Residential,B,B,B,2021.0,2019.0,2017.0,2217,1,
4TH ST S|CUMBERLAND RD|TERRELL HILL DR,4TH ST S,CUMBERLAND RD,TERRELL HILL DR,['2018-07-11'],Residential,C,C,C,2021.0,2019.0,2017.0,2217,1,
4TH ST S|HERNDON LN|JUANITA ST,4TH ST S,JUANITA ST,HERNDON LN,['2018-07-11'],Residential,D,B,B,2021.0,2019.0,2017.0,2217,1,
50TH ST E|DUVAL ST|EVANS AVE,50TH ST E,DUVAL ST,EVANS AVE,['2017-08-18'],Residential,C,D,D,2021.0,2018.0,2018.0,2544,1,
50TH ST W|BULL CREEK RD|WEST MARKET DR,50TH ST W,BULL CREEK RD,WEST MARKET DR,['2019-06-26'],Residential,C,D,D,2021.0,2018.0,2018.0,1867,1,
50TH ST W|PLACID PL|WEST MARKET DR,50TH ST W,WEST MARKET DR,PLACID PL,['2019-06-26'],Residential,D,D,D,2021.0,2018.0,2018.0,1867,1,
50TH ST W|PLACID PL|WEST PARK DR,50TH ST W,PLACID PL,WEST PARK DR,['2019-06-26'],Residential,C,C,C,2021.0,2018.0,2018.0,1867,1,
50TH ST W|WEST FRANCES PL|WEST PARK DR,50TH ST W,WEST PARK DR,WEST FRANCES PL,['2019-06-26'],Residential,C,D,D,2021.0,2018.0,2018.0,1867,1,
50TH ST W|WEST FRANCES PL|WESTFIELD DR,50TH ST W,WEST FRANCES PL,WESTFIELD DR,['2019-06-26'],Residential,C,D,D,2021.0,2018.0,2018.0,1867,1,
51ST ST E|4601|4619,51ST ST E,4601,4619,['2019-03-16'],Arterial,D,C,C,2021.0,2018.0,2018.0,1969,1,
51ST ST E|5000|5420,51ST ST E,5000,5420,['2019-03-16'],Arterial,D,D,D,2021.0,2018.0,2018.0,1969,1,
51ST ST E|5001|5419,51ST ST E,5001,5419,['2019-03-16'],Arterial,C,D,D,2021.0,2018.0,2018.0,1969,1,
51ST ST E|5500|5528,51ST ST E,5500,5528,['2019-03-16'],Arterial,F,F,F,2021.0,2018.0,2018.0,1969,1,
51ST ST E|5529|EASTERN PKWY,51ST ST E,EASTERN PKWY,5529,['2019-03-16'],Arterial,F,F,F,2021.0,2018.0,2018.0,1969,1,
51ST ST E|5601|ED BLUESTEIN BLVD,51ST ST E,5601,ED BLUESTEIN BLVD,['2019-03-16'],Arterial,D,F,F,2021.0,2018.0,2018.0,1969,1,
51ST ST E|ED BLUESTEIN BLVD|RANGOON RD,51ST ST E,RANGOON RD,ED BLUESTEIN BLVD,['2019-03-16'],Arterial,D,,,2021.0,,,1969,1,
51ST ST E|NORWOOD HILL RD|SPRINGDALE RD,51ST ST E,SPRINGDALE RD,NORWOOD HILL RD,['2019-03-16'],Arterial,D,F,F,2021.0,2018.0,2018.0,1969,1,
55TH ST E|AVENUE F|LINK AVE,55TH ST E,LINK AVE,AVENUE F,['2017-11-18'],Residential,D,C,C,2021.0,2018.0,2018.0,2452,1,
55TH ST W|CHESTERFIELD AVE|LINK AVE,55TH ST W,LINK AVE,CHESTERFIELD AVE,['2017-11-18'],Residential,B,C,C,2021.0,2018.0,2018.0,2452,1,
56TH ST E|AVENUE F|AVENUE G,56TH ST E,AVENUE F,AVENUE G,['2016-12-13'],Residential,B,C,C,2021.0,2018.0,2018.0,2792,1,
56TH ST E|AVENUE G|AVENUE H,56TH ST E,AVENUE G,AVENUE H,['2016-12-13'],Residential,C,D,D,2021.0,2018.0,2018.0,2792,1,
56TH ST E|AVENUE H|DUVAL ST,56TH ST E,AVENUE H,DUVAL ST,['2016-12-13'],Residential,D,D,D,2021.0,2018.0,2018.0,2792,1,
5TH ST E|ALLEN ST|TILLERY ST,5TH ST E,TILLERY ST,ALLEN ST,['2017-04-08'],Collector,A,A,A,2021.0,2018.0,2018.0,2676,1,
5TH ST E|ALLEN ST|VERMONT RD,5TH ST E,ALLEN ST,VERMONT RD,['2017-04-08'],Collector,C,B,B,2021.0,2018.0,2018.0,2676,1,
5TH ST E|ATTOYAC ST|NAVASOTA ST,5TH ST E,ATTOYAC ST,NAVASOTA ST,['2018-10-01'],Collector,C,C,C,2021.0,2018.0,2018.0,2135,1,
5TH ST E|ATTOYAC ST|WALLER ST,5TH ST E,WALLER ST,ATTOYAC ST,['2018-10-01'],Collector,D,D,D,2021.0,2018.0,2018.0,2135,1,
5TH ST E|BROADWAY|LINDEN ST,5TH ST E,BROADWAY,LINDEN ST,['2017-08-19'],Collector,C,D,D,2021.0,2018.0,2018.0,2543,1,
5TH ST E|BROADWAY|PLEASANT VALLEY RD N,5TH ST E,PLEASANT VALLEY RD N,BROADWAY,['2017-08-19'],Collector,B,B,B,2021.0,2018.0,2018.0,2543,1,
5TH ST E|BRUSHY ST|I 35 SVC RD NB  N,5TH ST E,I 35 SVC RD NB  N,BRUSHY ST,['2018-10-01'],Collector,F,C,C,2021.0,2018.0,2018.0,2135,1,
5TH ST E|BRUSHY ST|SAN MARCOS ST,5TH ST E,BRUSHY ST,SAN MARCOS ST,['2018-10-01'],Collector,D,D,D,2021.0,2018.0,2018.0,2135,1,
5TH ST E|COMAL ST|ONION ST,5TH ST E,ONION ST,COMAL ST,['2018-10-01'],Collector,F,A,A,2021.0,2018.0,2018.0,2135,1,
5TH ST E|LINDEN ST|TILLERY ST,5TH ST E,LINDEN ST,TILLERY ST,['2017-08-19'],Collector,A,B,B,2021.0,2018.0,2018.0,2543,1,
5TH ST E|MEDINA|SAN MARCOS ST,5TH ST E,SAN MARCOS ST,MEDINA,['2018-10-01'],Collector,C,D,D,2021.0,2018.0,2018.0,2135,1,
5TH ST E|MEDINA|WALLER ST,5TH ST E,MEDINA,WALLER ST,['2018-10-01'],Collector,D,D,D,2021.0,2018.0,2018.0,2135,1,
5TH ST E|NAVASOTA ST|ONION ST,5TH ST E,NAVASOTA ST,ONION ST,['2018-10-01'],Collector,D,F,F,2021.0,2018.0,2018.0,2135,1,
5TH ST E|PACE ST|PLEASANT VALLEY RD N,5TH ST E,PACE ST,PLEASANT VALLEY RD N,['2017-08-19'],Collector,B,F,F,2021.0,2018.0,2018.0,2543,1,
5TH ST E|PACE ST|SAN SABA ST,5TH ST E,SAN SABA ST,PACE ST,['2017-08-19'],Collector,D,B,B,2021.0,2018.0,2018.0,2543,1,
5TH ST E|PEDERNALES ST|SAN SABA ST,5TH ST E,PEDERNALES ST,SAN SABA ST,['2017-08-19'],Collector,C,D,D,2021.0,2018.0,2018.0,2543,1,
5TH ST E|SHADY LN|SPENCER LN,5TH ST E,SPENCER LN,SHADY LN,['2017-04-08'],Collector,A,A,A,2021.0,2018.0,2018.0,2676,1,
5TH ST E|SPENCER LN|SPRINGDALE RD,5TH ST E,SPRINGDALE RD,SPENCER LN,['2017-04-08'],Collector,A,A,A,2021.0,2018.0,2018.0,2676,1,
5TH ST E|SPRINGDALE RD|VERMONT RD,5TH ST E,VERMONT RD,SPRINGDALE RD,['2017-04-08'],Collector,B,D,D,2021.0,2018.0,2018.0,2676,1,
5TH ST S|ANNIE ST W|MARY ST W,5TH ST S,ANNIE ST W,MARY ST W,['2017-07-15'],Collector,D,F,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|ANNIE ST W|MILTON ST W,5TH ST S,MILTON ST W,ANNIE ST W,['2017-07-15'],Collector,C,C,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|BARTON SKWY|CARDINAL LN,5TH ST S,BARTON SKWY,CARDINAL LN,['2018-07-18'],Collector,D,F,C,2021.0,2019.0,2017.0,2210,1,
5TH ST S|BARTON SKWY|TERRELL HILL DR,5TH ST S,TERRELL HILL DR,BARTON SKWY,['2018-07-18'],Collector,D,D,C,2021.0,2019.0,2017.0,2210,1,
5TH ST S|BRODIE ST|JOHANNA ST W,5TH ST S,JOHANNA ST W,BRODIE ST,['2017-07-15'],Collector,F,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|BRODIE ST|LIVE OAK ST W,5TH ST S,BRODIE ST,LIVE OAK ST W,['2017-07-15'],Collector,F,C,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|CHRISTOPHER ST|COLUMBUS ST,5TH ST S,CHRISTOPHER ST,COLUMBUS ST,['2017-07-15'],Collector,F,C,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|CHRISTOPHER ST|RAMONA ST,5TH ST S,RAMONA ST,CHRISTOPHER ST,['2017-07-15'],Collector,D,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|COLUMBUS ST|JAMES ST W,5TH ST S,COLUMBUS ST,JAMES ST W,['2017-07-15'],Collector,D,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|CUMBERLAND RD|JARDINE DR,5TH ST S,CUMBERLAND RD,JARDINE DR,['2018-07-18'],Collector,C,C,C,2021.0,2019.0,2017.0,2210,1,
5TH ST S|ELIZABETH ST W|GIBSON ST W,5TH ST S,GIBSON ST W,ELIZABETH ST W,['2017-07-15'],Collector,D,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|ELIZABETH ST W|JEWELL ST,5TH ST S,ELIZABETH ST W,JEWELL ST,['2017-07-15'],Collector,C,C,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|GIBSON ST W|GIBSON ST W,5TH ST S,GIBSON ST W,GIBSON ST W,['2017-07-15'],Collector,D,F,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|GIBSON ST W|JAMES ST W,5TH ST S,JAMES ST W,GIBSON ST W,['2017-07-15'],Collector,D,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|JARDINE DR|TERRELL HILL DR,5TH ST S,JARDINE DR,TERRELL HILL DR,['2018-07-18'],Collector,C,C,C,2021.0,2019.0,2017.0,2210,1,
5TH ST S|JEWELL ST|MONROE ST W,5TH ST S,JEWELL ST,MONROE ST W,['2017-07-15'],Collector,C,B,B,2021.0,2019.0,2017.0,2578,1,
5TH ST S|JOHANNA ST W|JOHANNA ST W,5TH ST S,JOHANNA ST W,JOHANNA ST W,['2017-07-15'],Collector,F,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|JOHANNA ST W|MARY ST W,5TH ST S,MARY ST W,JOHANNA ST W,['2017-07-15'],Collector,C,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|LIVE OAK ST W|OLTORF ST W,5TH ST S,LIVE OAK ST W,OLTORF ST W,['2017-07-15'],Collector,D,D,C,2021.0,2019.0,2017.0,2578,1,
5TH ST S|MILTON ST W|MONROE ST W,5TH ST S,MONROE ST W,MILTON ST W,['2017-07-15'],Collector,C,C,C,2021.0,2019.0,2017.0,2578,1,
6TH ST E|CHALMERS AVE|CHICON ST,6TH ST E,CHALMERS AVE,CHICON ST,['2019-01-15'],Collector,C,F,F,2021.0,2018.0,2018.0,2029,1,
6TH ST S|ANNIE ST W|MARY ST W,6TH ST S,ANNIE ST W,MARY ST W,['2017-07-10'],Residential,C,C,C,2021.0,2019.0,2017.0,2583,1,
6TH ST S|ANNIE ST W|MILTON ST W,6TH ST S,MILTON ST W,ANNIE ST W,['2017-07-10'],Residential,C,C,C,2021.0,2019.0,2017.0,2583,1,
