ID,Length,Material,Diameter,Installed,Leak Occurred
100513,9.77 ft,PVC,8,39598,0
100514,10 ft,PVC,8,39598,0
100515,553.08 ft,PVC,8,39598,0
100516,10 ft,PVC,8,39598,0
100517,13.73 ft,PVC,8,39598,0
100518,3.7 ft,PVC,6,39598,0
100519,3.7 ft,PVC,6,39598,0
10052,21 ft,PVC,6,37257,0
100520,334.92 ft,PVC,8,39598,0
100521,10.01 ft,PVC,8,39598,0
100522,4.18 ft,PVC,6,39598,0
100523,4 ft,PVC,6,39598,0
100524,403 ft,PVC,8,39598,0
100525,10.25 ft,PVC,8,39598,0
100526,349.91 ft,PVC,8,39598,0
100527,9.28 ft,PVC,8,39598,0
100528,4 ft,PVC,6,39598,0
100529,3.94 ft,PVC,6,39598,0
10053,10 ft,PVC,8,38018,0
100530,531 ft,PVC,8,39598,0
100531,10.08 ft,PVC,8,39598,0
100532,3.62 ft,PVC,6,39598,0
100533,3.6 ft,PVC,6,39598,0
100534,266 ft,PVC,8,39598,0
100535,9.51 ft,PVC,8,39598,0
100536,32.17 ft,Ductile Iron,12,31519,0
100537,10 ft,PVC,8,39714,0
100538,113.42 ft,PVC,8,39714,0
100539,6.5 ft,PVC,6,39714,0
10054,10 ft,PVC,8,38018,0
100540,6.24 ft,PVC,6,39714,0
100541,10 ft,PVC,8,39714,0
100542,217.11 ft,PVC,8,39714,0
100543,6 ft,PVC,6,39714,0
100544,6.8 ft,PVC,6,39714,0
100545,3.9 ft,PVC,8,39714,0
100546,3.5 ft,PVC,8,39714,0
100547,5.03 ft,PVC,8,39714,0
100548,5 ft,PVC,8,39714,0
100549,98 ft,PVC,8,39714,0
10055,290.68 ft,PVC,12,38018,0
100550,9.91 ft,PVC,8,39714,0
100551,4.25 ft,PVC,8,39714,0
100552,4 ft,PVC,8,39714,0
100553,84 ft,PVC,8,39714,0
100554,9.86 ft,PVC,8,39714,0
100555,213.63 ft,PVC,8,36161,0
100556,3.82 ft,PVC,6,39723,0
